Geneid,N1,N2,T1,T2,T3,T4
ADSS2,0,0,8,13,26,31
ADTRP,9,19,20,32,23,30
AEBP1,0,66,13,232,3,21
AEBP2,26,44,20,19,45,64
AEN,8,0,18,28,9,41
AFAP1,61,49,84,63,85,78
AFAP1-AS1,36,0,7,3,0,21
AFAP1L1,0,0,45,81,64,77
AFAP1L2,0,54,28,38,39,51
AFDN,114,151,75,412,133,94
AFDN-DT,0,4,16,6,7,21
AFF1,56,152,98,105,165,174
AFF1-AS1,0,2,14,70,22,21
AFF2,0,0,0,0,1,0
AFF2_1,0,0,4,1,4,1
AFF3,24,77,86,49,118,114
AFF4,40,65,71,33,56,110
AFG1L,49,47,18,18,25,42
AFG3L1P,0,20,54,11,26,47
AFG3L2,46,0,47,43,63,40
AFM,9,23,14,6,34,19
AFMID,67,0,42,22,29,52
AFP,0,0,7,14,5,5
AFTPH,32,19,29,56,28,36
AGA,28,19,7,15,17,11
AGAP1,68,103,144,63,101,110
AGAP10P,0,6,16,38,15,17
AGAP11,35,19,24,13,30,26
AGAP12P,0,5,5,18,13,17
AGAP12P_1,0,2,2,0,1,0
AGAP13P,0,0,1,2,3,1
AGAP13P_1,0,0,2,1,3,0
AGAP14P,0,3,3,1,3,0
AGAP14P_1,20,0,1,0,1,2
AGAP1-IT1,0,11,13,2,19,6
AGAP2,48,22,39,24,48,55
AGAP3,13,9,16,53,31,42
AGAP4,0,0,0,2,0,0
AGAP4_1,0,0,0,3,0,0
AGAP5,0,0,1,0,5,4
AGAP7P,0,1,5,5,5,1
AGAP7P_1,0,1,2,1,1,5
AGBL1,70,22,51,41,70,84
AGBL1-AS1,37,0,5,17,6,4
AGBL2,0,7,55,61,69,74
AGBL3,25,114,53,17,38,38
AGBL4,16,27,8,19,6,23
AGBL4-AS1,0,0,17,0,2,7
AGBL4-IT1,0,15,4,0,10,6
AGBL5,2,5,53,10,44,54
AGBL5-AS1,0,0,10,0,5,9
AGFG1,81,122,58,81,88,53
AGFG2,71,21,37,85,47,66
AGGF1,0,6,14,23,22,19
AGK,1,19,14,16,24,21
AGL,19,86,88,69,115,63
AGMAT,34,3,26,25,51,65
AGMO,2,0,25,26,15,27
AGO1,0,79,113,68,132,168
AGO2,53,25,118,64,104,177
AGO3,53,240,177,167,218,164
AGO4,160,38,83,35,151,92
AGPAT1,0,0,0,0,0,1
AGPAT2,1,32,1,150,0,27
AGPAT3,66,30,89,157,97,163
AGPAT4,74,27,23,34,37,60
AGPAT4-IT1,0,39,28,56,25,20
AGPAT5,0,6,8,12,22,44
AGPS,47,24,45,47,60,50
AGR2,0,36,13,0,12,16
AGR3,37,0,19,7,4,1
AGRN,0,47,19,221,4,158
AGRP,10,0,2,2,0,11
AGT,0,17,21,0,7,50
AGTPBP1,95,46,67,39,60,58
AGTR1,51,2,17,3,1,18
AGTR2_1,0,1,0,0,0,0
AGTRAP,0,0,14,28,0,41
AGXT,0,37,12,40,53,55
AGXT2,0,23,57,9,30,19
AHCTF1,26,20,78,69,90,120
AHCTF1P1,42,36,29,34,28,38
AHCY,38,35,32,32,35,90
AHCYL1,115,109,59,188,65,68
AHCYL2,46,39,58,18,47,73
AHDC1,0,58,49,110,55,83
AHI1,55,106,45,86,56,57
AHNAK,124,97,44,125,55,781
AHNAK2,27,0,4,16,0,50
AHR,15,428,38,217,38,16
AHRR,0,0,3,0,2,3
AHSA1,2,0,37,20,72,39
AHSA2P,0,2,34,24,3,27
AHSG,46,0,12,19,7,36
AHSP,0,0,12,87,17,18
AICDA,0,25,43,8,97,36
AIDA,0,13,31,20,21,43
AIF1_2,0,0,1,1,0,0
AIF1_3,0,0,0,0,0,1
AIF1_4,0,0,0,1,0,0
